Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent),Source,Nm,File Name,Directory Name,Path Summary
4,14,4,14,2,2,16,268500992.0,44.0,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_weighted.csv,300,statistical_results_weighted.csv,300,SubBytesOutput-Bit-Corr-Nm300-Weight
4,14,4,14,2,2,16,268500992.0,44.0,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results_frequent.csv,400,statistical_results_frequent.csv,400,SubBytesOutput-Bit-Mean-Nm400-Freq
4,16,4,16,0,2,0,4294967297.0,32.0,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_weighted.csv,500,statistical_results_weighted.csv,500,SubBytesOutput-Bit-Corr-Nm500-Weight
4,16,4,16,0,2,0,4294967297.0,32.0,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_weighted.csv,400,statistical_results_weighted.csv,400,SubBytesOutput-Bit-Corr-Nm400-Weight
4,16,4,16,0,2,0,4294967297.0,32.0,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results.csv,1000,statistical_results.csv,1000,SubBytesOutput-Bit-Mean-Nm1000-Weight
4,16,4,16,0,2,0,4294967297.0,32.0,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results_frequent.csv,1000,statistical_results_frequent.csv,1000,SubBytesOutput-Bit-Mean-Nm1000-Freq
4,16,4,16,0,2,0,4294967297.0,32.0,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_weighted.csv,1000,statistical_results_weighted.csv,1000,SubBytesOutput-Bit-Corr-Nm1000-Weight
4,16,4,16,0,2,0,4294967297.0,32.0,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_frequent.csv,1000,statistical_results_frequent.csv,1000,SubBytesOutput-Bit-Corr-Nm1000-Freq
4,16,4,16,0,2,0,4294967297.0,32.0,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results.csv,500,statistical_results.csv,500,SubBytesOutput-Bit-Mean-Nm500-Weight
4,16,4,16,0,2,0,4294967297.0,32.0,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results.csv,400,statistical_results.csv,400,SubBytesOutput-Bit-Mean-Nm400-Weight
2,12,2,12,4,2,32,4294971392.0,44.0,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results_frequent.csv,400,statistical_results_frequent.csv,400,SubBytesOutput-Bit-Mean-Nm400-Freq
2,12,2,12,4,2,32,4294971392.0,44.0,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_frequent.csv,400,statistical_results_frequent.csv,400,SubBytesOutput-Bit-Corr-Nm400-Freq
3,12,3,12,4,2,32,4295498737.0,51.01955000865387,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results_frequent.csv,400,statistical_results_frequent.csv,400,SubBytesOutput-Bit-Mean-Nm400-Freq
3,12,3,12,4,2,32,4295498737.0,51.01955000865387,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_frequent.csv,400,statistical_results_frequent.csv,400,SubBytesOutput-Bit-Corr-Nm400-Freq
5,14,5,14,2,2,16,6103581161.0,48.50699332842307,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_frequent.csv,400,statistical_results_frequent.csv,400,SubBytesOutput-Bit-Corr-Nm400-Freq
5,14,5,14,2,2,16,6103581161.0,48.50699332842307,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results_frequent.csv,400,statistical_results_frequent.csv,400,SubBytesOutput-Bit-Mean-Nm400-Freq
5,14,5,14,2,2,16,6103581161.0,48.50699332842307,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_frequent.csv,500,statistical_results_frequent.csv,500,SubBytesOutput-Bit-Corr-Nm500-Freq
5,14,5,14,2,2,16,6103581161.0,48.50699332842307,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results_frequent.csv,500,statistical_results_frequent.csv,500,SubBytesOutput-Bit-Mean-Nm500-Freq
5,14,5,14,2,2,16,6103581161.0,48.50699332842307,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results.csv,300,statistical_results.csv,300,SubBytesOutput-Bit-Mean-Nm300-Weight
5,14,5,14,2,2,16,6103581161.0,48.50699332842307,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_weighted.csv,300,statistical_results_weighted.csv,300,SubBytesOutput-Bit-Corr-Nm300-Weight
5,16,5,16,0,2,0,152587890626.0,37.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_frequent.csv,1000,statistical_results_frequent.csv,1000,SubBytesOutput-Bit-Corr-Nm1000-Freq
5,16,5,16,0,2,0,152587890626.0,37.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results.csv,1000,statistical_results.csv,1000,SubBytesOutput-Bit-Mean-Nm1000-Weight
5,16,5,16,0,2,0,152587890626.0,37.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_weighted.csv,500,statistical_results_weighted.csv,500,SubBytesOutput-Bit-Corr-Nm500-Weight
5,16,5,16,0,2,0,152587890626.0,37.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results.csv,500,statistical_results.csv,500,SubBytesOutput-Bit-Mean-Nm500-Weight
5,16,5,16,0,2,0,152587890626.0,37.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results_frequent.csv,1000,statistical_results_frequent.csv,1000,SubBytesOutput-Bit-Mean-Nm1000-Freq
5,16,5,16,0,2,0,152587890626.0,37.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results.csv,400,statistical_results.csv,400,SubBytesOutput-Bit-Mean-Nm400-Weight
5,16,5,16,0,2,0,152587890626.0,37.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_weighted.csv,400,statistical_results_weighted.csv,400,SubBytesOutput-Bit-Corr-Nm400-Weight
5,16,5,16,0,2,0,152587890626.0,37.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_weighted.csv,1000,statistical_results_weighted.csv,1000,SubBytesOutput-Bit-Corr-Nm1000-Weight
10,12,10,12,4,2,32,1004294967296.0,71.86313713864834,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results.csv,200,statistical_results.csv,200,SubBytesOutput-Bit-Mean-Nm200-Weight
10,12,10,12,4,2,32,1004294967296.0,71.86313713864834,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Corr-Nm300-Freq
1,11,1,11,5,2,40,1099511627777.0,40.0,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results_frequent.csv,400,statistical_results_frequent.csv,400,SubBytesOutput-Bit-Mean-Nm400-Freq
1,11,1,11,5,2,40,1099511627777.0,40.0,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_frequent.csv,400,statistical_results_frequent.csv,400,SubBytesOutput-Bit-Corr-Nm400-Freq
10,13,10,13,3,2,24,10000016777216.0,67.18506523353571,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_weighted.csv,200,statistical_results_weighted.csv,200,SubBytesOutput-Bit-Corr-Nm200-Weight
10,13,10,13,3,2,24,10000016777216.0,67.18506523353571,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Mean-Nm300-Freq
10,14,10,14,2,2,16,100000000065536.0,62.50699332842307,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results.csv,300,statistical_results.csv,300,SubBytesOutput-Bit-Mean-Nm300-Weight
10,14,10,14,2,2,16,100000000065536.0,62.50699332842307,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_frequent.csv,500,statistical_results_frequent.csv,500,SubBytesOutput-Bit-Corr-Nm500-Freq
10,14,10,14,2,2,16,100000000065536.0,62.50699332842307,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results_frequent.csv,500,statistical_results_frequent.csv,500,SubBytesOutput-Bit-Mean-Nm500-Freq
3,10,3,10,6,2,48,281474976769705.0,63.84962500721156,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Corr-Nm300-Freq
4,10,4,10,6,2,48,281474977759232.0,68.0,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Corr-Nm300-Freq
5,10,5,10,6,2,48,281474986476281.0,71.21928094887362,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Corr-Nm300-Freq
30,10,30,10,6,2,48,871964976710656.0,97.0689059560852,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results_frequent.csv,200,statistical_results_frequent.csv,200,SubBytesOutput-Bit-Mean-Nm200-Freq
30,10,30,10,6,2,48,871964976710656.0,97.0689059560852,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_frequent.csv,200,statistical_results_frequent.csv,200,SubBytesOutput-Bit-Corr-Nm200-Freq
10,15,10,15,1,2,8,1000000000000256.0,57.82892142331043,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_weighted.csv,300,statistical_results_weighted.csv,300,SubBytesOutput-Bit-Corr-Nm300-Weight
20,12,20,12,4,2,32,4096004294967296.0,83.86313713864836,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Corr-Nm300-Freq
10,16,10,16,0,2,0,1e+16,53.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results.csv,500,statistical_results.csv,500,SubBytesOutput-Bit-Mean-Nm500-Weight
10,16,10,16,0,2,0,1e+16,53.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_weighted.csv,500,statistical_results_weighted.csv,500,SubBytesOutput-Bit-Corr-Nm500-Weight
10,16,10,16,0,2,0,1e+16,53.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results.csv,400,statistical_results.csv,400,SubBytesOutput-Bit-Mean-Nm400-Weight
10,16,10,16,0,2,0,1e+16,53.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results_frequent.csv,400,statistical_results_frequent.csv,400,SubBytesOutput-Bit-Mean-Nm400-Freq
10,16,10,16,0,2,0,1e+16,53.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_weighted.csv,1000,statistical_results_weighted.csv,1000,SubBytesOutput-Bit-Corr-Nm1000-Weight
10,16,10,16,0,2,0,1e+16,53.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_frequent.csv,1000,statistical_results_frequent.csv,1000,SubBytesOutput-Bit-Corr-Nm1000-Freq
10,16,10,16,0,2,0,1e+16,53.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_weighted.csv,400,statistical_results_weighted.csv,400,SubBytesOutput-Bit-Corr-Nm400-Weight
10,16,10,16,0,2,0,1e+16,53.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results_frequent.csv,1000,statistical_results_frequent.csv,1000,SubBytesOutput-Bit-Mean-Nm1000-Freq
10,16,10,16,0,2,0,1e+16,53.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_frequent.csv,400,statistical_results_frequent.csv,400,SubBytesOutput-Bit-Corr-Nm400-Freq
10,16,10,16,0,2,0,1e+16,53.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results.csv,1000,statistical_results.csv,1000,SubBytesOutput-Bit-Mean-Nm1000-Weight
25,12,25,12,4,2,32,5.960464907035792e+16,87.7262742772967,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Corr-Nm300-Freq
2,9,2,9,7,2,56,7.205759403792845e+16,65.0,2,128,attack_bit/data/attack_bit_corr/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Corr-Nm300-Freq
3,9,3,9,7,2,56,7.205759403794763e+16,70.26466250649041,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Mean-Nm300-Freq
4,9,4,9,7,2,56,7.205759403819008e+16,74.0,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_weighted.csv,200,statistical_results_weighted.csv,200,SubBytesOutput-Bit-Corr-Nm200-Weight
4,9,4,9,7,2,56,7.205759403819008e+16,74.0,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Mean-Nm300-Freq
4,9,4,9,7,2,56,7.205759403819008e+16,74.0,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results.csv,200,statistical_results.csv,200,SubBytesOutput-Bit-Mean-Nm200-Weight
5,9,5,9,7,2,56,7.205759403988106e+16,76.89735285398626,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_weighted.csv,200,statistical_results_weighted.csv,200,SubBytesOutput-Bit-Corr-Nm200-Weight
5,9,5,9,7,2,56,7.205759403988106e+16,76.89735285398626,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Mean-Nm300-Freq
5,9,5,9,7,2,56,7.205759403988106e+16,76.89735285398626,2,128,attack_bit/data/attack_bit_mean/df/200/statistical_results.csv,200,statistical_results.csv,200,SubBytesOutput-Bit-Mean-Nm200-Weight
50,9,50,9,7,2,56,7.401071903792794e+16,106.79470570797253,2,128,attack_bit/data/attack_bit_corr/df/100/statistical_results_weighted.csv,100,statistical_results_weighted.csv,100,SubBytesOutput-Bit-Corr-Nm100-Weight
20,13,20,13,3,2,24,8.192000001677722e+16,80.18506523353571,2,128,attack_bit/data/attack_bit_mean/df/300/statistical_results_frequent.csv,300,statistical_results_frequent.csv,300,SubBytesOutput-Bit-Mean-Nm300-Freq
