Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent),Source,Nm,Total Complexity 
30,16,30,16,0,2,0,,78.5102495297363,2,128,best_attack/data/attack_byte_correlation/df/300/statistical_results.csv,300,430467210000000000000001
50,16,50,16,0,2,0,,90.3016990363956,2,128,best_attack/data/attack_byte_correlation/df/300/statistical_results.csv,300,1525878906250000000000000001
100,16,100,16,0,2,0,,106.3016990363956,2,128,best_attack/data/attack_byte_correlation/df/300/statistical_results.csv,300,100000000000000000000000000000001
1,11,1,11,5,2,40,1099511627777,40.0,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_frequent.csv,400,
2,12,2,12,4,2,32,4294971392,44.0,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_frequent.csv,400,
3,12,3,12,4,2,32,4295498737,51.01955000865387,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_frequent.csv,400,
4,14,4,14,2,2,16,268500992,44.0,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_frequent.csv,400,
5,14,5,14,2,2,16,6103581161,48.50699332842307,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_frequent.csv,400,
10,16,10,16,0,2,0,10000000000000001,53.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_frequent.csv,400,
20,16,20,16,0,2,0,655360000000000000001,69.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_frequent.csv,400,
25,16,25,16,0,2,0,23283064365386962890626,74.30169903639559,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_frequent.csv,400,
30,16,30,16,0,2,0,430467210000000000000001,78.5102495297363,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_frequent.csv,400,
50,16,50,16,0,2,0,1525878906250000000000000001,90.3016990363956,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_frequent.csv,400,
100,16,100,16,0,2,0,100000000000000000000000000000001,106.3016990363956,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_frequent.csv,400,
1,15,1,15,1,2,8,257,8.0,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_weighted.csv,400,
2,16,2,16,0,2,0,65537,16.0,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_weighted.csv,400,
3,16,3,16,0,2,0,43046722,25.359400011538497,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_weighted.csv,400,
4,16,4,16,0,2,0,4294967297,32.0,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_weighted.csv,400,
5,16,5,16,0,2,0,152587890626,37.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_weighted.csv,400,
10,16,10,16,0,2,0,10000000000000001,53.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_weighted.csv,400,
20,16,20,16,0,2,0,655360000000000000001,69.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_weighted.csv,400,
25,16,25,16,0,2,0,23283064365386962890626,74.30169903639559,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_weighted.csv,400,
30,16,30,16,0,2,0,430467210000000000000001,78.5102495297363,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_weighted.csv,400,
50,16,50,16,0,2,0,1525878906250000000000000001,90.3016990363956,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_weighted.csv,400,
100,16,100,16,0,2,0,100000000000000000000000000000001,106.3016990363956,2,128,attack_bit/data/attack_bit_corr/df/400/statistical_results_weighted.csv,400,
1,11,1,11,5,2,40,1099511627777,40.0,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results_frequent.csv,400,
2,12,2,12,4,2,32,4294971392,44.0,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results_frequent.csv,400,
3,12,3,12,4,2,32,4295498737,51.01955000865387,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results_frequent.csv,400,
4,14,4,14,2,2,16,268500992,44.0,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results_frequent.csv,400,
5,14,5,14,2,2,16,6103581161,48.50699332842307,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results_frequent.csv,400,
10,16,10,16,0,2,0,10000000000000001,53.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results_frequent.csv,400,
20,16,20,16,0,2,0,655360000000000000001,69.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results_frequent.csv,400,
25,16,25,16,0,2,0,23283064365386962890626,74.30169903639559,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results_frequent.csv,400,
30,16,30,16,0,2,0,430467210000000000000001,78.5102495297363,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results_frequent.csv,400,
50,16,50,16,0,2,0,1525878906250000000000000001,90.3016990363956,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results_frequent.csv,400,
100,16,100,16,0,2,0,100000000000000000000000000000001,106.3016990363956,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results_frequent.csv,400,
1,15,1,15,1,2,8,257,8.0,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results.csv,400,
2,16,2,16,0,2,0,65537,16.0,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results.csv,400,
3,16,3,16,0,2,0,43046722,25.359400011538497,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results.csv,400,
4,16,4,16,0,2,0,4294967297,32.0,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results.csv,400,
5,16,5,16,0,2,0,152587890626,37.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results.csv,400,
10,16,10,16,0,2,0,10000000000000001,53.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results.csv,400,
20,16,20,16,0,2,0,655360000000000000001,69.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results.csv,400,
25,16,25,16,0,2,0,23283064365386962890626,74.30169903639559,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results.csv,400,
30,16,30,16,0,2,0,430467210000000000000001,78.5102495297363,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results.csv,400,
50,16,50,16,0,2,0,1525878906250000000000000001,90.3016990363956,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results.csv,400,
100,16,100,16,0,2,0,100000000000000000000000000000001,106.3016990363956,2,128,attack_bit/data/attack_bit_mean/df/400/statistical_results.csv,400,
1,4,1,4,12,2,96,,96.0,2,128,attack_SubBytes/data/attack_byte_correlation/df/400/statistical_results.csv,400,79228162514264337593543950337
2,5,2,5,11,2,88,,93.0,2,128,attack_SubBytes/data/attack_byte_correlation/df/400/statistical_results.csv,400,309485009821345068724781088
3,9,3,9,7,2,56,,70.26466250649041,2,128,attack_SubBytes/data/attack_byte_correlation/df/400/statistical_results.csv,400,72057594037947619
4,10,4,10,6,2,48,,68.0,2,128,attack_SubBytes/data/attack_byte_correlation/df/400/statistical_results.csv,400,281474977759232
5,10,5,10,6,2,48,,71.21928094887362,2,128,attack_SubBytes/data/attack_byte_correlation/df/400/statistical_results.csv,400,281474986476281
10,12,10,12,4,2,32,,71.86313713864834,2,128,attack_SubBytes/data/attack_byte_correlation/df/400/statistical_results.csv,400,1004294967296
20,12,20,12,4,2,32,,83.86313713864836,2,128,attack_SubBytes/data/attack_byte_correlation/df/400/statistical_results.csv,400,4096004294967296
25,13,25,13,3,2,24,,84.37013046707142,2,128,attack_SubBytes/data/attack_byte_correlation/df/400/statistical_results.csv,400,1490116119401542841
30,14,30,14,2,2,16,,84.69646833851927,2,128,attack_SubBytes/data/attack_byte_correlation/df/400/statistical_results.csv,400,478296900000000065536
50,14,50,14,2,2,16,,95.01398665684614,2,128,attack_SubBytes/data/attack_byte_correlation/df/400/statistical_results.csv,400,610351562500000000065536
100,15,100,15,1,2,8,,107.65784284662088,2,128,attack_SubBytes/data/attack_byte_correlation/df/400/statistical_results.csv,400,1000000000000000000000000000256
1,16,1,16,0,2,0,,0.0,2,128,best_attack/data/attack_byte_correlation/df/400/statistical_results.csv,400,2
2,16,2,16,0,2,0,,16.0,2,128,best_attack/data/attack_byte_correlation/df/400/statistical_results.csv,400,65537
3,16,3,16,0,2,0,,25.359400011538497,2,128,best_attack/data/attack_byte_correlation/df/400/statistical_results.csv,400,43046722
4,16,4,16,0,2,0,,32.0,2,128,best_attack/data/attack_byte_correlation/df/400/statistical_results.csv,400,4294967297
5,16,5,16,0,2,0,,37.1508495181978,2,128,best_attack/data/attack_byte_correlation/df/400/statistical_results.csv,400,152587890626
10,16,10,16,0,2,0,,53.1508495181978,2,128,best_attack/data/attack_byte_correlation/df/400/statistical_results.csv,400,10000000000000001
20,16,20,16,0,2,0,,69.1508495181978,2,128,best_attack/data/attack_byte_correlation/df/400/statistical_results.csv,400,655360000000000000001
25,16,25,16,0,2,0,,74.30169903639559,2,128,best_attack/data/attack_byte_correlation/df/400/statistical_results.csv,400,23283064365386962890626
30,16,30,16,0,2,0,,78.5102495297363,2,128,best_attack/data/attack_byte_correlation/df/400/statistical_results.csv,400,430467210000000000000001
50,16,50,16,0,2,0,,90.3016990363956,2,128,best_attack/data/attack_byte_correlation/df/400/statistical_results.csv,400,1525878906250000000000000001
100,16,100,16,0,2,0,,106.3016990363956,2,128,best_attack/data/attack_byte_correlation/df/400/statistical_results.csv,400,100000000000000000000000000000001
1,13,1,13,3,2,24,16777217,24.0,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_frequent.csv,500,
2,14,2,14,2,2,16,81920,30.0,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_frequent.csv,500,
3,14,3,14,2,2,16,4848505,38.18947501009619,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_frequent.csv,500,
4,14,4,14,2,2,16,268500992,44.0,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_frequent.csv,500,
5,14,5,14,2,2,16,6103581161,48.50699332842307,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_frequent.csv,500,
10,14,10,14,2,2,16,100000000065536,62.50699332842307,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_frequent.csv,500,
20,14,20,14,2,2,16,1638400000000065536,76.50699332842308,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_frequent.csv,500,
25,14,25,14,2,2,16,37252902984619206161,81.01398665684614,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_frequent.csv,500,
30,15,30,15,1,2,8,14348907000000000000256,81.60335893412778,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_frequent.csv,500,
50,16,50,16,0,2,0,1525878906250000000000000001,90.3016990363956,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_frequent.csv,500,
100,16,100,16,0,2,0,100000000000000000000000000000001,106.3016990363956,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_frequent.csv,500,
1,16,1,16,0,2,0,2,0.0,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_weighted.csv,500,
2,16,2,16,0,2,0,65537,16.0,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_weighted.csv,500,
3,16,3,16,0,2,0,43046722,25.359400011538497,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_weighted.csv,500,
4,16,4,16,0,2,0,4294967297,32.0,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_weighted.csv,500,
5,16,5,16,0,2,0,152587890626,37.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_weighted.csv,500,
10,16,10,16,0,2,0,10000000000000001,53.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_weighted.csv,500,
20,16,20,16,0,2,0,655360000000000000001,69.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_weighted.csv,500,
25,16,25,16,0,2,0,23283064365386962890626,74.30169903639559,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_weighted.csv,500,
30,16,30,16,0,2,0,430467210000000000000001,78.5102495297363,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_weighted.csv,500,
50,16,50,16,0,2,0,1525878906250000000000000001,90.3016990363956,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_weighted.csv,500,
100,16,100,16,0,2,0,100000000000000000000000000000001,106.3016990363956,2,128,attack_bit/data/attack_bit_corr/df/500/statistical_results_weighted.csv,500,
1,13,1,13,3,2,24,16777217,24.0,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results_frequent.csv,500,
2,14,2,14,2,2,16,81920,30.0,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results_frequent.csv,500,
3,14,3,14,2,2,16,4848505,38.18947501009619,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results_frequent.csv,500,
4,14,4,14,2,2,16,268500992,44.0,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results_frequent.csv,500,
5,14,5,14,2,2,16,6103581161,48.50699332842307,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results_frequent.csv,500,
10,14,10,14,2,2,16,100000000065536,62.50699332842307,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results_frequent.csv,500,
20,14,20,14,2,2,16,1638400000000065536,76.50699332842308,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results_frequent.csv,500,
25,14,25,14,2,2,16,37252902984619206161,81.01398665684614,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results_frequent.csv,500,
30,15,30,15,1,2,8,14348907000000000000256,81.60335893412778,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results_frequent.csv,500,
50,16,50,16,0,2,0,1525878906250000000000000001,90.3016990363956,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results_frequent.csv,500,
100,16,100,16,0,2,0,100000000000000000000000000000001,106.3016990363956,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results_frequent.csv,500,
1,16,1,16,0,2,0,2,0.0,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results.csv,500,
2,16,2,16,0,2,0,65537,16.0,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results.csv,500,
3,16,3,16,0,2,0,43046722,25.359400011538497,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results.csv,500,
4,16,4,16,0,2,0,4294967297,32.0,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results.csv,500,
5,16,5,16,0,2,0,152587890626,37.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results.csv,500,
10,16,10,16,0,2,0,10000000000000001,53.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results.csv,500,
20,16,20,16,0,2,0,655360000000000000001,69.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results.csv,500,
25,16,25,16,0,2,0,23283064365386962890626,74.30169903639559,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results.csv,500,
30,16,30,16,0,2,0,430467210000000000000001,78.5102495297363,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results.csv,500,
50,16,50,16,0,2,0,1525878906250000000000000001,90.3016990363956,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results.csv,500,
100,16,100,16,0,2,0,100000000000000000000000000000001,106.3016990363956,2,128,attack_bit/data/attack_bit_mean/df/500/statistical_results.csv,500,
1,3,1,3,13,2,104,,104.0,2,128,attack_SubBytes/data/attack_byte_correlation/df/500/statistical_results.csv,500,20282409603651670423947251286017
2,8,2,8,8,2,64,,72.0,2,128,attack_SubBytes/data/attack_byte_correlation/df/500/statistical_results.csv,500,18446744073709551872
3,11,3,11,5,2,40,,57.43458750793272,2,128,attack_SubBytes/data/attack_byte_correlation/df/500/statistical_results.csv,500,1099511804923
4,12,4,12,4,2,32,,56.0,2,128,attack_SubBytes/data/attack_byte_correlation/df/500/statistical_results.csv,500,4311744512
5,12,5,12,4,2,32,,59.86313713864835,2,128,attack_SubBytes/data/attack_byte_correlation/df/500/statistical_results.csv,500,4539107921
10,12,10,12,4,2,32,,71.86313713864834,2,128,attack_SubBytes/data/attack_byte_correlation/df/500/statistical_results.csv,500,1004294967296
20,14,20,14,2,2,16,,76.50699332842308,2,128,attack_SubBytes/data/attack_byte_correlation/df/500/statistical_results.csv,500,1638400000000065536
25,14,25,14,2,2,16,,81.01398665684614,2,128,attack_SubBytes/data/attack_byte_correlation/df/500/statistical_results.csv,500,37252902984619206161
30,14,30,14,2,2,16,,84.69646833851927,2,128,attack_SubBytes/data/attack_byte_correlation/df/500/statistical_results.csv,500,478296900000000065536
50,15,50,15,1,2,8,,92.65784284662088,2,128,attack_SubBytes/data/attack_byte_correlation/df/500/statistical_results.csv,500,30517578125000000000000256
100,16,100,16,0,2,0,,106.3016990363956,2,128,attack_SubBytes/data/attack_byte_correlation/df/500/statistical_results.csv,500,100000000000000000000000000000001
1,16,1,16,0,2,0,,0.0,2,128,best_attack/data/attack_byte_correlation/df/500/statistical_results.csv,500,2
2,16,2,16,0,2,0,,16.0,2,128,best_attack/data/attack_byte_correlation/df/500/statistical_results.csv,500,65537
3,16,3,16,0,2,0,,25.359400011538497,2,128,best_attack/data/attack_byte_correlation/df/500/statistical_results.csv,500,43046722
4,16,4,16,0,2,0,,32.0,2,128,best_attack/data/attack_byte_correlation/df/500/statistical_results.csv,500,4294967297
5,16,5,16,0,2,0,,37.1508495181978,2,128,best_attack/data/attack_byte_correlation/df/500/statistical_results.csv,500,152587890626
10,16,10,16,0,2,0,,53.1508495181978,2,128,best_attack/data/attack_byte_correlation/df/500/statistical_results.csv,500,10000000000000001
20,16,20,16,0,2,0,,69.1508495181978,2,128,best_attack/data/attack_byte_correlation/df/500/statistical_results.csv,500,655360000000000000001
25,16,25,16,0,2,0,,74.30169903639559,2,128,best_attack/data/attack_byte_correlation/df/500/statistical_results.csv,500,23283064365386962890626
30,16,30,16,0,2,0,,78.5102495297363,2,128,best_attack/data/attack_byte_correlation/df/500/statistical_results.csv,500,430467210000000000000001
50,16,50,16,0,2,0,,90.3016990363956,2,128,best_attack/data/attack_byte_correlation/df/500/statistical_results.csv,500,1525878906250000000000000001
100,16,100,16,0,2,0,,106.3016990363956,2,128,best_attack/data/attack_byte_correlation/df/500/statistical_results.csv,500,100000000000000000000000000000001
1,16,1,16,0,2,0,2,0.0,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_frequent.csv,1000,
2,16,2,16,0,2,0,65537,16.0,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_frequent.csv,1000,
3,16,3,16,0,2,0,43046722,25.359400011538497,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_frequent.csv,1000,
4,16,4,16,0,2,0,4294967297,32.0,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_frequent.csv,1000,
5,16,5,16,0,2,0,152587890626,37.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_frequent.csv,1000,
10,16,10,16,0,2,0,10000000000000001,53.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_frequent.csv,1000,
20,16,20,16,0,2,0,655360000000000000001,69.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_frequent.csv,1000,
25,16,25,16,0,2,0,23283064365386962890626,74.30169903639559,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_frequent.csv,1000,
30,16,30,16,0,2,0,430467210000000000000001,78.5102495297363,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_frequent.csv,1000,
50,16,50,16,0,2,0,1525878906250000000000000001,90.3016990363956,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_frequent.csv,1000,
100,16,100,16,0,2,0,100000000000000000000000000000001,106.3016990363956,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_frequent.csv,1000,
1,16,1,16,0,2,0,2,0.0,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_weighted.csv,1000,
2,16,2,16,0,2,0,65537,16.0,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_weighted.csv,1000,
3,16,3,16,0,2,0,43046722,25.359400011538497,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_weighted.csv,1000,
4,16,4,16,0,2,0,4294967297,32.0,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_weighted.csv,1000,
5,16,5,16,0,2,0,152587890626,37.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_weighted.csv,1000,
10,16,10,16,0,2,0,10000000000000001,53.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_weighted.csv,1000,
20,16,20,16,0,2,0,655360000000000000001,69.1508495181978,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_weighted.csv,1000,
25,16,25,16,0,2,0,23283064365386962890626,74.30169903639559,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_weighted.csv,1000,
30,16,30,16,0,2,0,430467210000000000000001,78.5102495297363,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_weighted.csv,1000,
50,16,50,16,0,2,0,1525878906250000000000000001,90.3016990363956,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_weighted.csv,1000,
100,16,100,16,0,2,0,100000000000000000000000000000001,106.3016990363956,2,128,attack_bit/data/attack_bit_corr/df/1000/statistical_results_weighted.csv,1000,
1,16,1,16,0,2,0,2,0.0,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results_frequent.csv,1000,
2,16,2,16,0,2,0,65537,16.0,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results_frequent.csv,1000,
3,16,3,16,0,2,0,43046722,25.359400011538497,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results_frequent.csv,1000,
4,16,4,16,0,2,0,4294967297,32.0,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results_frequent.csv,1000,
5,16,5,16,0,2,0,152587890626,37.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results_frequent.csv,1000,
10,16,10,16,0,2,0,10000000000000001,53.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results_frequent.csv,1000,
20,16,20,16,0,2,0,655360000000000000001,69.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results_frequent.csv,1000,
25,16,25,16,0,2,0,23283064365386962890626,74.30169903639559,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results_frequent.csv,1000,
30,16,30,16,0,2,0,430467210000000000000001,78.5102495297363,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results_frequent.csv,1000,
50,16,50,16,0,2,0,1525878906250000000000000001,90.3016990363956,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results_frequent.csv,1000,
100,16,100,16,0,2,0,100000000000000000000000000000001,106.3016990363956,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results_frequent.csv,1000,
1,16,1,16,0,2,0,2,0.0,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results.csv,1000,
2,16,2,16,0,2,0,65537,16.0,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results.csv,1000,
3,16,3,16,0,2,0,43046722,25.359400011538497,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results.csv,1000,
4,16,4,16,0,2,0,4294967297,32.0,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results.csv,1000,
5,16,5,16,0,2,0,152587890626,37.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results.csv,1000,
10,16,10,16,0,2,0,10000000000000001,53.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results.csv,1000,
20,16,20,16,0,2,0,655360000000000000001,69.1508495181978,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results.csv,1000,
25,16,25,16,0,2,0,23283064365386962890626,74.30169903639559,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results.csv,1000,
30,16,30,16,0,2,0,430467210000000000000001,78.5102495297363,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results.csv,1000,
50,16,50,16,0,2,0,1525878906250000000000000001,90.3016990363956,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results.csv,1000,
100,16,100,16,0,2,0,100000000000000000000000000000001,106.3016990363956,2,128,attack_bit/data/attack_bit_mean/df/1000/statistical_results.csv,1000,
1,4,1,4,12,2,96,,96.0,2,128,attack_SubBytes/data/attack_byte_correlation/df/1000/statistical_results.csv,1000,79228162514264337593543950337
2,9,2,9,7,2,56,,65.0,2,128,attack_SubBytes/data/attack_byte_correlation/df/1000/statistical_results.csv,1000,72057594037928448
3,10,3,10,6,2,48,,63.84962500721156,2,128,attack_SubBytes/data/attack_byte_correlation/df/1000/statistical_results.csv,1000,281474976769705
4,12,4,12,4,2,32,,56.0,2,128,attack_SubBytes/data/attack_byte_correlation/df/1000/statistical_results.csv,1000,4311744512
5,12,5,12,4,2,32,,59.86313713864835,2,128,attack_SubBytes/data/attack_byte_correlation/df/1000/statistical_results.csv,1000,4539107921
10,14,10,14,2,2,16,,62.50699332842307,2,128,attack_SubBytes/data/attack_byte_correlation/df/1000/statistical_results.csv,1000,100000000065536
20,15,20,15,1,2,8,,72.82892142331043,2,128,attack_SubBytes/data/attack_byte_correlation/df/1000/statistical_results.csv,1000,32768000000000000256
25,16,25,16,0,2,0,,74.30169903639559,2,128,attack_SubBytes/data/attack_byte_correlation/df/1000/statistical_results.csv,1000,23283064365386962890626
30,16,30,16,0,2,0,,78.5102495297363,2,128,attack_SubBytes/data/attack_byte_correlation/df/1000/statistical_results.csv,1000,430467210000000000000001
50,16,50,16,0,2,0,,90.3016990363956,2,128,attack_SubBytes/data/attack_byte_correlation/df/1000/statistical_results.csv,1000,1525878906250000000000000001
100,16,100,16,0,2,0,,106.3016990363956,2,128,attack_SubBytes/data/attack_byte_correlation/df/1000/statistical_results.csv,1000,100000000000000000000000000000001
1,16,1,16,0,2,0,,0.0,2,128,best_attack/data/attack_byte_correlation/df/1000/statistical_results.csv,1000,2
2,16,2,16,0,2,0,,16.0,2,128,best_attack/data/attack_byte_correlation/df/1000/statistical_results.csv,1000,65537
3,16,3,16,0,2,0,,25.359400011538497,2,128,best_attack/data/attack_byte_correlation/df/1000/statistical_results.csv,1000,43046722
4,16,4,16,0,2,0,,32.0,2,128,best_attack/data/attack_byte_correlation/df/1000/statistical_results.csv,1000,4294967297
5,16,5,16,0,2,0,,37.1508495181978,2,128,best_attack/data/attack_byte_correlation/df/1000/statistical_results.csv,1000,152587890626
10,16,10,16,0,2,0,,53.1508495181978,2,128,best_attack/data/attack_byte_correlation/df/1000/statistical_results.csv,1000,10000000000000001
20,16,20,16,0,2,0,,69.1508495181978,2,128,best_attack/data/attack_byte_correlation/df/1000/statistical_results.csv,1000,655360000000000000001
25,16,25,16,0,2,0,,74.30169903639559,2,128,best_attack/data/attack_byte_correlation/df/1000/statistical_results.csv,1000,23283064365386962890626
30,16,30,16,0,2,0,,78.5102495297363,2,128,best_attack/data/attack_byte_correlation/df/1000/statistical_results.csv,1000,430467210000000000000001
50,16,50,16,0,2,0,,90.3016990363956,2,128,best_attack/data/attack_byte_correlation/df/1000/statistical_results.csv,1000,1525878906250000000000000001
100,16,100,16,0,2,0,,106.3016990363956,2,128,best_attack/data/attack_byte_correlation/df/1000/statistical_results.csv,1000,100000000000000000000000000000001
