Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent),Source,Nm,Total Complexity 
100,9,100,9,7,2,56,1072057594037927936,115.79470570797253,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results_frequent.csv,100,
1,1,1,1,15,2,120,1329227995784915872903807060280344577,120.0,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results.csv,100,
2,4,2,4,12,2,96,79228162514264337593543950352,100.0,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results.csv,100,
3,4,3,4,12,2,96,79228162514264337593543950417,102.33985000288462,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results.csv,100,
4,4,4,4,12,2,96,79228162514264337593543950592,104.0,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results.csv,100,
5,4,5,4,12,2,96,79228162514264337593543950961,105.28771237954945,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results.csv,100,
10,5,10,5,11,2,88,309485009821345068724881056,104.60964047443682,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results.csv,100,
20,6,20,6,10,2,80,1208925819614629238706176,105.93156856932418,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results.csv,100,
25,6,25,6,10,2,80,1208925819614629418846801,107.86313713864834,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results.csv,100,
30,7,30,7,9,2,72,4722366482891515213696,106.34823416925964,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results.csv,100,
50,10,50,10,6,2,48,97937724976710656,104.43856189774723,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results.csv,100,
100,13,100,13,3,2,24,100000000000000000016777216,110.37013046707142,2,128,attack_bit/data/attack_bit_mean/df/100/statistical_results.csv,100,
1,2,1,2,14,2,112,,112.0,2,128,attack_SubBytes/data/attack_byte_correlation/df/100/statistical_results.csv,100,5192296858534827628530496329220097
2,3,2,3,13,2,104,,107.0,2,128,attack_SubBytes/data/attack_byte_correlation/df/100/statistical_results.csv,100,20282409603651670423947251286024
3,3,3,3,13,2,104,,108.75488750216348,2,128,attack_SubBytes/data/attack_byte_correlation/df/100/statistical_results.csv,100,20282409603651670423947251286043
4,3,4,3,13,2,104,,110.0,2,128,attack_SubBytes/data/attack_byte_correlation/df/100/statistical_results.csv,100,20282409603651670423947251286080
5,3,5,3,13,2,104,,110.96578428466208,2,128,attack_SubBytes/data/attack_byte_correlation/df/100/statistical_results.csv,100,20282409603651670423947251286141
10,4,10,4,12,2,96,,109.28771237954945,2,128,attack_SubBytes/data/attack_byte_correlation/df/100/statistical_results.csv,100,79228162514264337593543960336
20,6,20,6,10,2,80,,105.93156856932418,2,128,attack_SubBytes/data/attack_byte_correlation/df/100/statistical_results.csv,100,1208925819614629238706176
25,7,25,7,9,2,72,,104.50699332842308,2,128,attack_SubBytes/data/attack_byte_correlation/df/100/statistical_results.csv,100,4722366482875748729321
30,7,30,7,9,2,72,,106.34823416925964,2,128,attack_SubBytes/data/attack_byte_correlation/df/100/statistical_results.csv,100,4722366482891515213696
50,11,50,11,5,2,40,,102.08241808752196,2,128,attack_SubBytes/data/attack_byte_correlation/df/100/statistical_results.csv,100,4882813599511627776
100,14,100,14,2,2,16,,109.01398665684614,2,128,attack_SubBytes/data/attack_byte_correlation/df/100/statistical_results.csv,100,10000000000000000000000065536
1,16,1,16,0,2,0,,0.0,2,128,best_attack/data/attack_byte_correlation/df/100/statistical_results.csv,100,2
2,16,2,16,0,2,0,,16.0,2,128,best_attack/data/attack_byte_correlation/df/100/statistical_results.csv,100,65537
3,16,3,16,0,2,0,,25.359400011538497,2,128,best_attack/data/attack_byte_correlation/df/100/statistical_results.csv,100,43046722
4,16,4,16,0,2,0,,32.0,2,128,best_attack/data/attack_byte_correlation/df/100/statistical_results.csv,100,4294967297
5,16,5,16,0,2,0,,37.1508495181978,2,128,best_attack/data/attack_byte_correlation/df/100/statistical_results.csv,100,152587890626
10,16,10,16,0,2,0,,53.1508495181978,2,128,best_attack/data/attack_byte_correlation/df/100/statistical_results.csv,100,10000000000000001
20,16,20,16,0,2,0,,69.1508495181978,2,128,best_attack/data/attack_byte_correlation/df/100/statistical_results.csv,100,655360000000000000001
25,16,25,16,0,2,0,,74.30169903639559,2,128,best_attack/data/attack_byte_correlation/df/100/statistical_results.csv,100,23283064365386962890626
30,16,30,16,0,2,0,,78.5102495297363,2,128,best_attack/data/attack_byte_correlation/df/100/statistical_results.csv,100,430467210000000000000001
50,16,50,16,0,2,0,,90.3016990363956,2,128,best_attack/data/attack_byte_correlation/df/100/statistical_results.csv,100,1525878906250000000000000001
100,16,100,16,0,2,0,,106.3016990363956,2,128,best_attack/data/attack_byte_correlation/df/100/statistical_results.csv,100,100000000000000000000000000000001
1,3,1,3,13,2,104,20282409603651670423947251286017,104.0,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_frequent.csv,200,
2,4,2,4,12,2,96,79228162514264337593543950352,100.0,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_frequent.csv,200,
3,5,3,5,11,2,88,309485009821345068724781299,95.92481250360578,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_frequent.csv,200,
4,5,4,5,11,2,88,309485009821345068724782080,98.0,2,128,attack_bit/data/attack_bit_corr/df/200/statistical_results_frequent.csv,200,
